PAM,VFSC
113.86,54.16
113.30,52.44
112.95,50.75
112.76,49.16
112.74,47.78
112.86,46.69
113.09,45.98
113.42,45.74
113.82,46.06
114.33,47.83
114.88,50.45
115.40,53.11
115.84,55.42
115.99,55.67
115.97,54.71
115.88,53.44
115.78,52.19
115.86,52.32
116.06,53.39
116.25,54.63
116.42,55.83
116.47,56.50
116.30,56.24
116.10,55.67
115.89,54.86
115.70,53.84
115.66,52.42
115.67,51.07
115.71,49.96
115.79,49.25
115.92,50.13
116.07,51.51
116.23,53.07
116.37,54.61
116.43,55.30
116.44,55.46
116.46,55.43
116.50,55.28
116.64,55.20
116.92,55.32
117.20,55.40
117.44,55.41
117.61,55.31
117.42,54.65
117.19,54.00
116.98,53.50
116.85,53.26
117.10,54.26
117.48,55.51
117.89,56.68
118.30,57.51
118.52,56.48
118.69,55.19
118.81,53.95
118.89,53.35
118.92,54.40
118.92,55.77
118.87,57.19
118.78,58.17
118.63,58.16
118.46,57.84
118.27,57.26
118.06,56.41
117.84,55.27
117.64,54.21
117.47,53.40
117.38,53.24
117.41,54.33
117.48,55.64
117.57,56.96
117.64,57.60
117.68,57.53
117.74,57.33
117.83,57.15
118.02,57.67
118.26,58.45
118.55,59.20
118.86,59.77
119.27,59.72
119.66,59.30
119.99,58.56
120.21,57.50
119.97,55.69
119.69,53.78
119.48,51.99
119.58,50.57
120.26,49.83
121.05,49.66
121.81,50.15
122.26,51.90
122.34,54.75
122.30,57.79
122.18,60.64
122.12,62.04
122.04,62.73
121.92,62.91
121.75,62.65
121.57,62.04
121.28,61.12
120.85,59.93
120.13,58.34
119.12,56.48
118.03,54.85
116.94,53.72
116.16,54.64
115.43,55.94
114.71,57.18
113.87,57.21
112.89,55.79
112.01,54.22
111.29,52.88
111.12,53.37
111.21,54.47
111.41,55.66
111.62,56.28
111.74,55.73
111.79,55.01
111.71,54.34
111.29,54.49
110.66,55.14
109.98,55.88
109.31,56.57
108.96,56.58
108.71,56.38
108.51,56.04
108.35,55.62
108.07,55.34
107.78,55.06
107.55,54.70
107.41,54.23
107.43,53.26
107.60,52.07
107.92,51.04
108.39,50.33
109.02,50.67
109.81,51.64
110.82,52.85
112.08,54.11
113.83,55.04
115.68,55.91
117.49,56.72
119.02,57.58
120.23,58.39
121.18,59.02
121.81,59.36
121.97,59.29
121.89,58.84
121.63,58.00
121.35,56.32
121.07,54.03
120.73,51.67
120.36,49.52
119.93,48.47
119.48,48.42
119.03,48.79
118.61,49.45
118.25,50.12
117.97,50.61
117.76,51.20
117.63,51.94
117.60,52.88
117.85,54.32
118.10,55.77
118.25,57.12
118.13,58.11
117.58,58.52
116.89,58.66
116.11,58.60
115.38,58.45
114.73,58.23
114.11,57.88
113.52,57.40
113.00,56.64
112.55,55.58
112.17,54.55
111.84,53.69
111.57,53.22
111.30,53.71
111.14,54.43
111.10,55.23
111.24,55.96
111.73,56.20
112.32,56.32
112.95,56.34
113.53,56.26
113.99,56.10
114.35,55.93
114.60,55.80
114.61,55.81
114.45,55.94
114.19,56.15
113.86,56.43
113.49,56.82
113.11,57.25
112.76,57.67
112.48,58.05
112.48,58.22
112.57,58.31
112.67,58.36
112.74,58.40
112.47,58.46
112.09,58.55
111.80,58.67
111.67,58.83
112.07,59.18
112.74,59.56
113.57,59.90
114.52,60.12
115.52,60.10
116.51,59.94
117.43,59.64
118.13,59.00
118.59,58.12
118.93,57.33
119.17,56.81
119.40,57.50
119.58,58.73
119.72,60.00
119.83,61.05
119.94,60.55
120.03,59.38
120.09,58.05
120.11,56.79
120.07,56.46
119.99,56.96
119.85,57.59
119.65,58.18
119.41,58.23
119.14,57.32
118.78,56.30
118.33,55.32
117.76,54.56
116.79,55.23
115.75,56.14
114.71,57.11
113.74,57.93
113.02,57.78
112.59,56.74
112.32,55.64
112.20,54.69
112.27,54.27
112.59,55.44
113.00,56.82
113.45,58.19
113.89,59.14
114.23,59.00
114.49,58.55
114.64,57.88
114.55,57.19
114.18,56.64
113.71,56.04
113.21,55.36
112.80,54.40
112.50,53.20
112.28,52.14
112.13,51.38
112.09,51.66
112.16,52.80
112.31,53.92
112.55,54.70
112.96,53.61
113.43,51.79
113.89,49.84
114.28,48.17
114.46,47.72
114.53,47.75
114.49,48.24
114.31,49.37
113.93,51.42
113.54,53.40
113.20,54.94
113.20,54.73
113.50,52.89
113.80,50.67
114.02,48.48
113.74,47.61
113.22,47.43
112.60,47.63
111.96,48.13
111.56,48.60
111.20,49.30
110.84,50.26
110.46,51.49
109.90,53.69
109.33,55.98
108.80,58.07
108.34,59.71
108.18,59.37
108.09,58.51
108.03,57.50
107.95,56.63
107.49,57.72
107.05,58.90
106.76,59.71
106.79,59.40
107.54,56.31
108.47,52.81
109.44,49.45
110.19,47.94
110.66,48.25
110.98,48.95
111.14,49.63
110.99,48.52
110.68,46.78
110.34,45.12
110.02,43.87
110.08,44.69
110.24,46.16
110.44,47.99
110.65,49.95
110.63,51.34
110.61,52.57
110.66,53.67
110.84,54.64
